[['New York Knicks', 0.461, 11.0, 11.0, 0.843], ['Los Angeles Clippers', 0.544, 18.0, 8.0, 0.759], 1]
[['Boston Celtics', 0.447, 10.0, 10.0, 0.769], ['Toronto Raptors', 0.479, 12.0, 6.0, 0.737], 0]
[['Washington Wizards', 0.489, 9.0, 15.0, 0.643], ['Detroit Pistons', 0.539, 15.0, 11.0, 0.6], 0]
[['New Orleans Hornets', 0.322, 15.0, 15.0, 0.938], ['Sacramento Kings', 0.387, 21.0, 12.0, 0.6], 1]
[['Golden State Warriors', 0.352, 17.0, 23.0, 0.846], ['Los Angeles Lakers', 0.557, 18.0, 14.0, 0.8], 0]
[['Boston Celtics', 0.346, 12.0, 8.0, 0.824], ['Atlanta Hawks', 0.533, 15.0, 10.0, 0.778], 1]
[['Indiana Pacers', 0.387, 22.0, 6.0, 0.658], ['Miami Heat', 0.411, 13.0, 12.0, 0.846], 1]
[['Minnesota Timberwolves', 0.5, 17.0, 11.0, 0.688], ['Oklahoma City Thunder', 0.548, 15.0, 5.0, 0.8], 0]
[['Phoenix Suns', 0.49, 14.0, 18.0, 0.8], ['Houston Rockets', 0.538, 12.0, 6.0, 0.842], 1]
[['Orlando Magic', 0.488, 16.0, 6.0, 0.714], ['San Antonio Spurs', 0.494, 9.0, 3.0, 0.783], 0]
[['Sacramento Kings', 0.358, 15.0, 16.0, 0.741], ['Utah Jazz', 0.447, 7.0, 9.0, 0.697], 0]
[['Denver Nuggets', 0.402, 10.0, 10.0, 0.813], ['Golden State Warriors', 0.467, 17.0, 10.0, 0.923], 1]
[['New Orleans Hornets', 0.474, 12.0, 9.0, 0.652], ['Los Angeles Clippers', 0.507, 12.0, 12.0, 0.5], 0]
[['Cleveland Cavaliers', 0.422, 12.0, 10.0, 0.727], ['Indiana Pacers', 0.438, 13.0, 7.0, 0.857], 0]
[['Atlanta Hawks', 0.461, 13.0, 13.0, 0.769], ['New Jersey Nets', 0.475, 10.0, 9.0, 0.758], 0]
[['Philadelphia 76ers', 0.439, 15.0, 15.0, 0.769], ['Washington Wizards', 0.462, 15.0, 14.0, 0.71], 0]
[['Charlotte Bobcats', 0.489, 18.0, 15.0, 0.722], ['New York Knicks', 0.521, 20.0, 5.0, 0.96], 0]
[['Detroit Pistons', 0.385, 8.0, 10.0, 0.815], ['Dallas Mavericks', 0.425, 15.0, 11.0, 0.731], 0]
[['Chicago Bulls', 0.395, 12.0, 10.0, 0.889], ['Los Angeles Lakers', 0.395, 13.0, 14.0, 0.731], 0]
[['New York Knicks', 0.448, 14.0, 18.0, 0.714], ['Charlotte Bobcats', 0.48, 15.0, 8.0, 0.75], 1]
