[['San Antonio Spurs', 0.495, 8.0, 8.0, 0.733], ['Golden State Warriors', 0.543, 19.0, 1.0, 0.85], 1]
[['Detroit Pistons', 0.469, 13.0, 7.0, 0.818], ['Washington Wizards', 0.482, 11.0, 11.0, 0.727], 0]
[['Utah Jazz', 0.5, 11.0, 8.0, 0.5], ['Atlanta Hawks', 0.513, 18.0, 13.0, 0.722], 0]
[['Oklahoma City Thunder', 0.446, 8.0, 7.0, 0.846], ['Boston Celtics', 0.488, 8.0, 8.0, 0.864], 1]
[['Indiana Pacers', 0.375, 15.0, 16.0, 0.867], ['Miami Heat', 0.426, 9.0, 6.0, 0.444], 1]
[['Orlando Magic', 0.43, 7.0, 11.0, 0.929], ['New York Knicks', 0.471, 10.0, 4.0, 0.781], 1]
[['Los Angeles Lakers', 0.417, 9.0, 11.0, 0.781], ['New Orleans Pelicans', 0.549, 13.0, 8.0, 0.611], 0]
[['Portland Trail Blazers', 0.433, 12.0, 15.0, 0.818], ['Denver Nuggets', 0.511, 14.0, 12.0, 0.828], 1]
[['Brooklyn Nets', 0.473, 19.0, 8.0, 0.781], ['Phoenix Suns', 0.481, 20.0, 12.0, 0.897], 0]
[['Houston Rockets', 0.444, 13.0, 9.0, 0.767], ['Minnesota Timberwolves', 0.483, 13.0, 13.0, 0.737], 1]
[['Sacramento Kings', 0.481, 14.0, 13.0, 0.853], ['Memphis Grizzlies', 0.506, 9.0, 8.0, 0.794], 0]
[['Chicago Bulls', 0.393, 14.0, 13.0, 0.714], ['Toronto Raptors', 0.481, 19.0, 13.0, 0.688], 1]
[['Philadelphia 76ers', 0.299, 27.0, 18.0, 0.515], ['Dallas Mavericks', 0.513, 15.0, 9.0, 0.833], 0]
[['Brooklyn Nets', 0.438, 12.0, 7.0, 0.9], ['Golden State Warriors', 0.456, 10.0, 14.0, 0.667], 0]
[['Denver Nuggets', 0.405, 13.0, 11.0, 0.5], ['Indiana Pacers', 0.494, 8.0, 13.0, 0.56], 1]
[['Milwaukee Bucks', 0.438, 15.0, 10.0, 0.778], ['Orlando Magic', 0.45, 16.0, 5.0, 0.786], 0]
