[['Detroit Pistons', 0.421, 11.0, 9.0, 0.81], ['San Antonio Spurs', 0.444, 8.0, 10.0, 0.789], 0]
[['Sacramento Kings', 0.489, 15.0, 13.0, 0.8], ['Portland Trail Blazers', 0.523, 11.0, 7.0, 0.704], 0]
[['Boston Celtics', 0.419, 13.0, 11.0, 0.75], ['Indiana Pacers', 0.438, 13.0, 15.0, 0.818], 1]
[['Los Angeles Lakers', 0.433, 10.0, 12.0, 0.789], ['New Orleans Pelicans', 0.553, 10.0, 10.0, 0.857], 1]
[['Philadelphia 76ers', 0.434, 19.0, 10.0, 0.65], ['Atlanta Hawks', 0.505, 16.0, 15.0, 0.571], 0]
[['New York Knicks', 0.454, 16.0, 17.0, 0.75], ['Toronto Raptors', 0.47, 11.0, 11.0, 0.868], 0]
[['Washington Wizards', 0.402, 10.0, 15.0, 0.92], ['Chicago Bulls', 0.418, 12.0, 13.0, 0.833], 0]
[['San Antonio Spurs', 0.382, 14.0, 16.0, 0.81], ['Houston Rockets', 0.539, 10.0, 2.0, 0.792], 1]
[['Utah Jazz', 0.469, 8.0, 4.0, 0.526], ['Miami Heat', 0.494, 9.0, 6.0, 0.842], 1]
[['Los Angeles Clippers', 0.449, 13.0, 15.0, 0.81], ['Minnesota Timberwolves', 0.526, 14.0, 9.0, 0.757], 1]
[['Memphis Grizzlies', 0.449, 13.0, 3.0, 0.952], ['Milwaukee Bucks', 0.529, 12.0, 5.0, 0.75], 0]
[['Detroit Pistons', 0.429, 15.0, 14.0, 0.737], ['Denver Nuggets', 0.511, 9.0, 11.0, 0.714], 1]
[['Brooklyn Nets', 0.374, 12.0, 17.0, 0.762], ['Phoenix Suns', 0.476, 17.0, 6.0, 0.867], 1]
[['Charlotte Hornets', 0.379, 5.0, 10.0, 0.833], ['Cleveland Cavaliers', 0.424, 9.0, 12.0, 0.533], 0]
[['Los Angeles Lakers', 0.465, 17.0, 5.0, 0.833], ['Minnesota Timberwolves', 0.525, 10.0, 9.0, 0.667], 0]
[['Orlando Magic', 0.511, 10.0, 12.0, 0.615], ['Oklahoma City Thunder', 0.535, 9.0, 8.0, 0.8], 1]
[['Phoenix Suns', 0.511, 13.0, 8.0, 0.769], ['Golden State Warriors', 0.517, 16.0, 8.0, 0.871], 0]
[['Denver Nuggets', 0.394, 7.0, 14.0, 0.813], ['Portland Trail Blazers', 0.396, 18.0, 16.0, 0.759], 0]
[['Orlando Magic', 0.321, 14.0, 9.0, 0.769], ['Indiana Pacers', 0.389, 9.0, 7.0, 1.0], 0]
[['Oklahoma City Thunder', 0.375, 15.0, 13.0, 0.773], ['Detroit Pistons', 0.467, 9.0, 4.0, 0.813], 0]
[['Dallas Mavericks', 0.381, 11.0, 11.0, 0.727], ['New York Knicks', 0.436, 17.0, 14.0, 0.889], 0]
[['Philadelphia 76ers', 0.378, 12.0, 10.0, 0.882], ['Houston Rockets', 0.484, 17.0, 16.0, 0.588], 0]
[['Boston Celtics', 0.4, 10.0, 11.0, 0.85], ['New Orleans Pelicans', 0.443, 16.0, 8.0, 0.833], 0]
[['Miami Heat', 0.402, 17.0, 14.0, 0.741], ['San Antonio Spurs', 0.44, 13.0, 10.0, 0.571], 0]
[['Memphis Grizzlies', 0.474, 16.0, 14.0, 0.846], ['Utah Jazz', 0.479, 8.0, 6.0, 0.818], 1]
[['Brooklyn Nets', 0.442, 21.0, 9.0, 0.773], ['Los Angeles Clippers', 0.533, 11.0, 9.0, 0.81], 0]
[['Toronto Raptors', 0.479, 8.0, 12.0, 0.667], ['Cleveland Cavaliers', 0.53, 17.0, 10.0, 0.714], 0]
[['Atlanta Hawks', 0.404, 23.0, 17.0, 0.786], ['Miami Heat', 0.463, 19.0, 6.0, 0.684], 1]
[['Charlotte Hornets', 0.427, 18.0, 14.0, 0.81], ['Minnesota Timberwolves', 0.538, 13.0, 4.0, 0.818], 1]
[['Chicago Bulls', 0.358, 11.0, 15.0, 0.611], ['Portland Trail Blazers', 0.418, 10.0, 19.0, 0.857], 1]
[['Brooklyn Nets', 0.446, 11.0, 14.0, 0.791], ['Los Angeles Lakers', 0.455, 14.0, 9.0, 0.8], 0]
[['Cleveland Cavaliers', 0.407, 18.0, 11.0, 0.6], ['Indiana Pacers', 0.5, 10.0, 5.0, 0.636], 0]
[['New Orleans Pelicans', 0.366, 17.0, 9.0, 0.789], ['Orlando Magic', 0.386, 12.0, 13.0, 0.579], 0]
[['Washington Wizards', 0.418, 11.0, 11.0, 0.72], ['Philadelphia 76ers', 0.545, 17.0, 5.0, 0.682], 0]
[['Milwaukee Bucks', 0.398, 14.0, 15.0, 0.778], ['Atlanta Hawks', 0.486, 16.0, 3.0, 0.871], 0]
[['Dallas Mavericks', 0.41, 9.0, 5.0, 0.7], ['Boston Celtics', 0.434, 19.0, 13.0, 0.739], 0]
[['Detroit Pistons', 0.452, 9.0, 19.0, 0.632], ['New York Knicks', 0.494, 10.0, 8.0, 0.833], 0]
[['Houston Rockets', 0.435, 16.0, 12.0, 0.643], ['Oklahoma City Thunder', 0.476, 16.0, 5.0, 0.929], 0]
[['Golden State Warriors', 0.451, 14.0, 13.0, 0.902], ['Toronto Raptors', 0.506, 12.0, 7.0, 0.929], 1]
[['Phoenix Suns', 0.484, 14.0, 14.0, 0.917], ['Denver Nuggets', 0.494, 16.0, 7.0, 0.621], 0]
[['Memphis Grizzlies', 0.457, 8.0, 8.0, 0.706], ['Los Angeles Clippers', 0.488, 15.0, 9.0, 0.842], 1]
[['San Antonio Spurs', 0.474, 16.0, 10.0, 0.774], ['Sacramento Kings', 0.489, 11.0, 9.0, 0.765], 1]
[['New York Knicks', 0.477, 13.0, 10.0, 0.9], ['Washington Wizards', 0.543, 15.0, 7.0, 0.889], 0]
[['Milwaukee Bucks', 0.329, 13.0, 12.0, 0.769], ['Miami Heat', 0.402, 7.0, 17.0, 0.524], 0]
[['Portland Trail Blazers', 0.456, 12.0, 10.0, 0.81], ['Houston Rockets', 0.484, 13.0, 17.0, 0.8], 0]
[['Philadelphia 76ers', 0.373, 15.0, 13.0, 0.789], ['Minnesota Timberwolves', 0.512, 13.0, 14.0, 0.9], 0]
[['Chicago Bulls', 0.367, 8.0, 14.0, 0.875], ['Utah Jazz', 0.385, 13.0, 10.0, 0.857], 1]
[['Atlanta Hawks', 0.411, 11.0, 8.0, 0.667], ['Charlotte Hornets', 0.464, 16.0, 8.0, 0.647], 0]
[['Phoenix Suns', 0.474, 11.0, 18.0, 0.833], ['Indiana Pacers', 0.474, 18.0, 10.0, 0.793], 1]
[['Detroit Pistons', 0.312, 7.0, 11.0, 0.85], ['Cleveland Cavaliers', 0.482, 13.0, 5.0, 0.929], 0]
[['Golden State Warriors', 0.373, 13.0, 7.0, 0.789], ['Boston Celtics', 0.489, 11.0, 9.0, 0.583], 1]
[['Portland Trail Blazers', 0.375, 14.0, 13.0, 0.885], ['New Orleans Pelicans', 0.549, 8.0, 1.0, 0.7], 0]
[['Brooklyn Nets', 0.422, 16.0, 7.0, 0.8], ['Oklahoma City Thunder', 0.551, 16.0, 10.0, 0.792], 0]
[['Memphis Grizzlies', 0.288, 17.0, 10.0, 0.773], ['Dallas Mavericks', 0.403, 12.0, 7.0, 0.75], 1]
[['Toronto Raptors', 0.457, 11.0, 6.0, 0.613], ['Denver Nuggets', 0.47, 19.0, 9.0, 0.744], 1]
[['San Antonio Spurs', 0.448, 13.0, 15.0, 0.81], ['Los Angeles Lakers', 0.564, 12.0, 3.0, 0.947], 1]
[['Los Angeles Clippers', 0.442, 14.0, 9.0, 0.829], ['Sacramento Kings', 0.526, 14.0, 5.0, 0.824], 1]
[['Utah Jazz', 0.447, 4.0, 10.0, 0.75], ['Houston Rockets', 0.513, 12.0, 5.0, 0.706], 0]
[['Boston Celtics', 0.402, 8.0, 9.0, 0.941], ['Detroit Pistons', 0.43, 5.0, 11.0, 0.688], 1]
[['Charlotte Hornets', 0.412, 14.0, 8.0, 0.75], ['New Orleans Pelicans', 0.439, 11.0, 10.0, 0.84], 0]
[['Dallas Mavericks', 0.338, 13.0, 5.0, 0.815], ['Orlando Magic', 0.436, 19.0, 10.0, 0.864], 0]
[['Miami Heat', 0.472, 11.0, 13.0, 0.727], ['Washington Wizards', 0.506, 16.0, 17.0, 0.577], 1]
[['Phoenix Suns', 0.424, 15.0, 12.0, 0.618], ['Philadelphia 76ers', 0.523, 18.0, 6.0, 0.65], 0]
[['Minnesota Timberwolves', 0.382, 9.0, 13.0, 0.868], ['Memphis Grizzlies', 0.391, 16.0, 5.0, 0.636], 0]
[['Golden State Warriors', 0.442, 12.0, 18.0, 0.813], ['Milwaukee Bucks', 0.517, 13.0, 10.0, 0.76], 1]
[['Chicago Bulls', 0.429, 12.0, 15.0, 0.833], ['Los Angeles Clippers', 0.468, 13.0, 11.0, 0.826], 0]
[['Atlanta Hawks', 0.4, 13.0, 14.0, 0.69], ['New York Knicks', 0.477, 15.0, 11.0, 0.714], 0]
[['Portland Trail Blazers', 0.398, 9.0, 11.0, 0.806], ['Brooklyn Nets', 0.576, 15.0, 8.0, 0.762], 1]
[['Indiana Pacers', 0.436, 20.0, 15.0, 0.722], ['Oklahoma City Thunder', 0.449, 22.0, 15.0, 0.774], 1]
[['Utah Jazz', 0.388, 10.0, 14.0, 0.783], ['Denver Nuggets', 0.488, 8.0, 12.0, 0.433], 0]
[['Toronto Raptors', 0.4, 15.0, 16.0, 0.917], ['Sacramento Kings', 0.444, 13.0, 4.0, 0.76], 0]
[['Chicago Bulls', 0.441, 10.0, 10.0, 0.714], ['Los Angeles Lakers', 0.517, 16.0, 16.0, 0.714], 1]
[['Memphis Grizzlies', 0.411, 10.0, 8.0, 0.636], ['Charlotte Hornets', 0.476, 10.0, 6.0, 0.765], 1]
[['Golden State Warriors', 0.32, 11.0, 15.0, 0.917], ['Indiana Pacers', 0.444, 12.0, 12.0, 0.844], 1]
[['Miami Heat', 0.386, 13.0, 21.0, 0.679], ['Philadelphia 76ers', 0.474, 14.0, 7.0, 0.8], 0]
[['Phoenix Suns', 0.407, 11.0, 14.0, 0.647], ['Washington Wizards', 0.429, 21.0, 13.0, 0.8], 0]
[['Houston Rockets', 0.414, 14.0, 12.0, 0.708], ['Detroit Pistons', 0.449, 15.0, 12.0, 0.704], 1]
[['Orlando Magic', 0.407, 13.0, 7.0, 0.714], ['Milwaukee Bucks', 0.416, 24.0, 10.0, 0.75], 0]
[['Boston Celtics', 0.419, 15.0, 16.0, 0.68], ['Minnesota Timberwolves', 0.452, 11.0, 6.0, 0.786], 1]
[['Dallas Mavericks', 0.467, 13.0, 8.0, 0.72], ['San Antonio Spurs', 0.473, 17.0, 10.0, 0.65], 0]
[['Toronto Raptors', 0.5, 11.0, 4.0, 0.844], ['Los Angeles Clippers', 0.527, 14.0, 6.0, 0.833], 0]
[['New Orleans Pelicans', 0.459, 15.0, 6.0, 0.6], ['Atlanta Hawks', 0.523, 9.0, 5.0, 0.917], 1]
