[['Philadelphia 76ers', 0.349, 17.0, 12.0, 0.714], ['Oklahoma City Thunder', 0.402, 13.0, 16.0, 0.762], 0]
[['Los Angeles Lakers', 0.33, 20.0, 15.0, 0.833], ['Dallas Mavericks', 0.366, 15.0, 7.0, 0.793], 0]
[['Houston Rockets', 0.429, 20.0, 8.0, 0.742], ['Denver Nuggets', 0.457, 18.0, 12.0, 0.75], 0]
[['Brooklyn Nets', 0.426, 14.0, 15.0, 0.769], ['Sacramento Kings', 0.472, 15.0, 9.0, 0.81], 0]
[['Detroit Pistons', 0.446, 15.0, 11.0, 0.657], ['Los Angeles Clippers', 0.468, 13.0, 11.0, 0.769], 0]
[['Orlando Magic', 0.437, 12.0, 6.0, 0.792], ['Washington Wizards', 0.47, 11.0, 7.0, 0.692], 0]
[['Dallas Mavericks', 0.381, 12.0, 12.0, 0.781], ['Houston Rockets', 0.483, 11.0, 8.0, 0.762], 1]
[['Cleveland Cavaliers', 0.407, 20.0, 14.0, 0.63], ['Milwaukee Bucks', 0.422, 12.0, 15.0, 0.727], 0]
[['Philadelphia 76ers', 0.388, 13.0, 12.0, 0.84], ['San Antonio Spurs', 0.402, 15.0, 6.0, 0.818], 0]
[['Denver Nuggets', 0.347, 10.0, 9.0, 0.875], ['Phoenix Suns', 0.44, 20.0, 10.0, 0.769], 0]
[['Brooklyn Nets', 0.418, 12.0, 11.0, 0.938], ['Golden State Warriors', 0.443, 14.0, 11.0, 0.9], 0]
[['New Orleans Pelicans', 0.432, 9.0, 10.0, 0.789], ['New York Knicks', 0.451, 18.0, 4.0, 0.895], 0]
[['Memphis Grizzlies', 0.5, 12.0, 9.0, 0.905], ['Minnesota Timberwolves', 0.563, 15.0, 4.0, 0.926], 1]
[['Portland Trail Blazers', 0.393, 12.0, 16.0, 0.905], ['Charlotte Hornets', 0.494, 11.0, 7.0, 0.789], 0]
[['Utah Jazz', 0.487, 15.0, 8.0, 0.824], ['Atlanta Hawks', 0.513, 17.0, 10.0, 0.706], 1]
[['Boston Celtics', 0.364, 18.0, 10.0, 0.793], ['Oklahoma City Thunder', 0.476, 18.0, 12.0, 0.65], 1]
[['Toronto Raptors', 0.437, 15.0, 7.0, 0.714], ['Sacramento Kings', 0.513, 19.0, 9.0, 0.792], 0]
[['Detroit Pistons', 0.365, 10.0, 12.0, 0.533], ['Los Angeles Lakers', 0.413, 16.0, 7.0, 0.744], 0]
[['Dallas Mavericks', 0.395, 19.0, 6.0, 0.833], ['Philadelphia 76ers', 0.447, 27.0, 8.0, 0.65], 1]
[['Indiana Pacers', 0.402, 12.0, 11.0, 0.667], ['Chicago Bulls', 0.407, 8.0, 10.0, 0.625], 0]
[['Boston Celtics', 0.424, 22.0, 14.0, 0.522], ['Houston Rockets', 0.473, 19.0, 16.0, 0.706], 1]
[['Oklahoma City Thunder', 0.44, 10.0, 12.0, 0.923], ['Memphis Grizzlies', 0.506, 19.0, 12.0, 0.71], 0]
[['Portland Trail Blazers', 0.413, 12.0, 4.0, 0.846], ['San Antonio Spurs', 0.427, 6.0, 12.0, 0.769], 0]
