[[0.454, 14.275, 11.609, 0.756], [0.441, 13.435, 10.536, 0.733], [1, 0]]
[[0.458, 14.015, 9.433, 0.726], [0.44, 16.292, 11.092, 0.739], [0, 1]]
[[0.426, 15.368, 11.737, 0.698], [0.44, 12.538, 10.41, 0.745], [1, 0]]
[[0.434, 13.478, 9.087, 0.696], [0.452, 12.333, 9.762, 0.714], [1, 0]]
[[0.435, 15.339, 11.729, 0.72], [0.435, 13.456, 10.386, 0.719], [1, 0]]
[[0.44, 15.134, 11.585, 0.707], [0.421, 10.976, 9.354, 0.755], [1, 0]]
[[0.463, 13.029, 10.147, 0.729], [0.452, 14.312, 10.031, 0.698], [1, 0]]
[[0.203, 6.5, 7.0, 0.404], [0.224, 5.0, 6.5, 0.387], [0, 1]]
[[0.447, 13.542, 8.833, 0.718], [0.44, 13.489, 11.362, 0.768], [1, 0]]
[[0.454, 12.938, 10.5, 0.744], [0.434, 15.489, 11.66, 0.715], [0, 1]]
[[0.441, 14.517, 12.103, 0.723], [0.417, 14.097, 11.839, 0.718], [0, 1]]
[[0.457, 12.966, 10.414, 0.745], [0.435, 12.759, 9.69, 0.756], [1, 0]]
[[0.438, 15.137, 11.562, 0.714], [0.455, 14.301, 11.575, 0.758], [1, 0]]
[[0.459, 14.132, 9.526, 0.735], [0.449, 13.276, 9.803, 0.773], [0, 1]]
[[0.436, 12.385, 7.615, 0.67], [0.432, 12.833, 6.583, 0.734], [0, 1]]
[[0.426, 12.333, 7.917, 0.672], [0.422, 12.727, 7.636, 0.721], [1, 0]]
[[0.453, 12.521, 11.394, 0.741], [0.455, 12.847, 9.528, 0.717], [0, 1]]
[[0.438, 14.529, 11.412, 0.721], [0.434, 12.5, 7.222, 0.738], [0, 1]]
[[0.451, 13.878, 10.122, 0.765], [0.442, 13.415, 10.354, 0.738], [0, 1]]
[[0.418, 11.652, 11.261, 0.733], [0.432, 12.167, 10.542, 0.749], [1, 0]]
[[0.316, 16.25, 11.0, 0.561], [0.326, 9.25, 7.5, 0.62], [1, 0]]
[[0.448, 14.153, 10.569, 0.747], [0.447, 14.384, 11.151, 0.75], [1, 0]]
[[0.442, 13.583, 9.417, 0.749], [0.448, 13.056, 10.417, 0.747], [1, 0]]
[[0.437, 12.667, 10.714, 0.732], [0.443, 12.61, 10.244, 0.748], [0, 1]]
[[0.412, 12.125, 10.5, 0.684], [0.43, 12.267, 6.733, 0.738], [0, 1]]
[[0.451, 11.906, 11.5, 0.71], [0.435, 13.588, 10.941, 0.749], [1, 0]]
[[0.367, 12.5, 6.667, 0.641], [0.379, 10.833, 7.667, 0.626], [1, 0]]
[[0.457, 14.088, 9.441, 0.723], [0.438, 13.508, 11.246, 0.767], [0, 1]]
[[0.191, 9.0, 8.0, 0.381], [0.203, 4.5, 13.0, 0.242], [0, 1]]
[[0.452, 13.368, 8.474, 0.747], [0.427, 13.526, 8.842, 0.74], [1, 0]]
[[0.439, 15.448, 11.69, 0.693], [0.45, 12.893, 8.286, 0.735], [0, 1]]
[[0.411, 15.083, 12.0, 0.669], [0.416, 13.417, 11.792, 0.707], [1, 0]]
[[0.448, 13.261, 9.783, 0.764], [0.439, 13.536, 11.261, 0.768], [1, 0]]
[[0.434, 13.0, 10.059, 0.696], [0.388, 12.765, 11.0, 0.665], [0, 1]]
[[0.444, 13.565, 10.783, 0.759], [0.435, 13.118, 12.015, 0.728], [0, 1]]
[[0.416, 17.077, 10.75, 0.68], [0.44, 13.44, 11.42, 0.77], [0, 1]]
[[0.434, 15.349, 11.558, 0.707], [0.424, 12.886, 10.318, 0.747], [1, 0]]
[[0.441, 12.889, 10.0, 0.698], [0.429, 12.412, 7.118, 0.732], [0, 1]]
[[0.41, 17.0, 9.8, 0.679], [0.436, 14.0, 10.826, 0.756], [0, 1]]
[[0.44, 13.247, 10.815, 0.73], [0.444, 12.58, 10.543, 0.784], [1, 0]]
[[0.442, 12.455, 10.662, 0.746], [0.452, 12.873, 9.646, 0.719], [0, 1]]
[[0.454, 14.317, 11.54, 0.746], [0.453, 12.554, 9.585, 0.722], [0, 1]]
[[0.37, 11.286, 8.571, 0.7], [0.415, 12.625, 6.125, 0.711], [1, 0]]
[[0.442, 16.381, 10.94, 0.738], [0.434, 11.976, 11.607, 0.757], [0, 1]]
[[0.445, 13.306, 9.028, 0.699], [0.433, 13.312, 11.469, 0.698], [0, 1]]
[[0.436, 15.344, 11.562, 0.721], [0.435, 14.125, 11.609, 0.729], [1, 0]]
[[0.445, 13.048, 9.405, 0.742], [0.435, 12.78, 10.488, 0.779], [1, 0]]
[[0.45, 13.506, 10.883, 0.74], [0.438, 15.182, 11.636, 0.71], [0, 1]]
[[0.448, 12.059, 9.353, 0.715], [0.439, 13.235, 10.235, 0.706], [1, 0]]
[[0.434, 12.808, 10.654, 0.731], [0.425, 12.615, 10.077, 0.753], [0, 1]]
[[0.453, 12.429, 11.417, 0.737], [0.45, 14.107, 11.095, 0.762], [0, 1]]
[[0.383, 15.571, 9.0, 0.591], [0.368, 11.143, 11.857, 0.68], [0, 1]]
