[['Houston Rockets', 0.427, 13.0, 11.0, 0.794], ['Dallas Mavericks', 0.554, 14.0, 9.0, 0.957], 0]
[['Oklahoma City Thunder', 0.397, 15.0, 8.0, 0.857], ['Sacramento Kings', 0.447, 21.0, 15.0, 0.861], 0]
[['Golden State Warriors', 0.402, 13.0, 9.0, 0.667], ['Indiana Pacers', 0.447, 18.0, 16.0, 0.735], 0]
[['Chicago Bulls', 0.398, 13.0, 15.0, 0.81], ['Toronto Raptors', 0.409, 15.0, 11.0, 0.957], 0]
[['Utah Jazz', 0.468, 21.0, 17.0, 0.667], ['Boston Celtics', 0.532, 15.0, 12.0, 0.889], 0]
[['Charlotte Bobcats', 0.438, 19.0, 11.0, 0.577], ['Detroit Pistons', 0.556, 11.0, 7.0, 0.765], 0]
[['Philadelphia 76ers', 0.39, 9.0, 12.0, 0.65], ['New Jersey Nets', 0.4, 14.0, 8.0, 0.8], 1]
[['Atlanta Hawks', 0.471, 16.0, 9.0, 0.889], ['New York Knicks', 0.543, 15.0, 9.0, 0.833], 1]
[['Denver Nuggets', 0.398, 12.0, 13.0, 0.871], ['Milwaukee Bucks', 0.488, 18.0, 11.0, 0.88], 0]
[['Portland Trail Blazers', 0.442, 11.0, 3.0, 0.833], ['Minnesota Timberwolves', 0.553, 14.0, 6.0, 0.867], 1]
[['Cleveland Cavaliers', 0.451, 10.0, 7.0, 0.6], ['Orlando Magic', 0.481, 14.0, 6.0, 0.783], 1]
[['Memphis Grizzlies', 0.395, 18.0, 9.0, 0.619], ['Houston Rockets', 0.5, 14.0, 11.0, 0.625], 0]
[['Dallas Mavericks', 0.354, 11.0, 11.0, 0.815], ['San Antonio Spurs', 0.425, 13.0, 10.0, 0.526], 0]
[['Oklahoma City Thunder', 0.359, 14.0, 14.0, 0.727], ['Los Angeles Clippers', 0.422, 13.0, 12.0, 0.667], 1]
[['New Orleans Hornets', 0.447, 10.0, 10.0, 0.8], ['Phoenix Suns', 0.554, 17.0, 15.0, 0.792], 0]
[['Cleveland Cavaliers', 0.461, 10.0, 7.0, 0.73], ['Miami Heat', 0.48, 11.0, 5.0, 0.75], 1]
[['Phoenix Suns', 0.365, 13.0, 24.0, 0.621], ['Los Angeles Lakers', 0.576, 15.0, 8.0, 0.389], 0]
[['New Jersey Nets', 0.329, 11.0, 7.0, 0.846], ['Orlando Magic', 0.446, 15.0, 8.0, 0.56], 0]
[['Utah Jazz', 0.479, 17.0, 9.0, 0.739], ['Philadelphia 76ers', 0.512, 12.0, 13.0, 0.917], 1]
[['Golden State Warriors', 0.488, 21.0, 12.0, 0.789], ['New York Knicks', 0.583, 15.0, 6.0, 0.739], 1]
[['Atlanta Hawks', 0.452, 13.0, 16.0, 0.739], ['Boston Celtics', 0.493, 15.0, 6.0, 0.684], 1]
[['Dallas Mavericks', 0.326, 12.0, 12.0, 0.593], ['Minnesota Timberwolves', 0.4, 17.0, 11.0, 0.773], 1]
[['Portland Trail Blazers', 0.367, 9.0, 9.0, 0.773], ['New Orleans Hornets', 0.379, 12.0, 20.0, 0.692], 1]
[['Houston Rockets', 0.416, 10.0, 9.0, 0.947], ['Sacramento Kings', 0.481, 18.0, 16.0, 0.793], 0]
[['Los Angeles Lakers', 0.348, 16.0, 16.0, 0.625], ['Denver Nuggets', 0.435, 10.0, 9.0, 0.862], 0]
[['Toronto Raptors', 0.471, 15.0, 12.0, 0.704], ['Los Angeles Clippers', 0.513, 9.0, 8.0, 0.867], 1]
[['New Orleans Hornets', 0.44, 16.0, 14.0, 0.611], ['Atlanta Hawks', 0.545, 14.0, 17.0, 0.621], 0]
[['Portland Trail Blazers', 0.366, 9.0, 16.0, 0.571], ['Charlotte Bobcats', 0.422, 13.0, 6.0, 0.84], 1]
[['Boston Celtics', 0.476, 14.0, 14.0, 0.742], ['Indiana Pacers', 0.526, 8.0, 6.0, 0.774], 0]
[['Detroit Pistons', 0.456, 16.0, 13.0, 0.88], ['Washington Wizards', 0.457, 13.0, 16.0, 0.719], 1]
[['Utah Jazz', 0.513, 12.0, 7.0, 0.741], ['Cleveland Cavaliers', 0.527, 17.0, 8.0, 0.846], 0]
[['New Jersey Nets', 0.393, 7.0, 15.0, 0.733], ['Miami Heat', 0.429, 12.0, 9.0, 0.762], 0]
[['Philadelphia 76ers', 0.42, 16.0, 10.0, 0.619], ['Chicago Bulls', 0.449, 20.0, 11.0, 0.75], 0]
[['Minnesota Timberwolves', 0.482, 20.0, 6.0, 0.667], ['Memphis Grizzlies', 0.488, 21.0, 12.0, 0.85], 0]
[['Golden State Warriors', 0.527, 14.0, 15.0, 0.633], ['Milwaukee Bucks', 0.561, 11.0, 2.0, 0.893], 0]
[['Oklahoma City Thunder', 0.468, 14.0, 10.0, 0.794], ['San Antonio Spurs', 0.468, 15.0, 8.0, 0.84], 1]
[['Dallas Mavericks', 0.439, 7.0, 11.0, 0.762], ['Detroit Pistons', 0.458, 13.0, 12.0, 0.706], 1]
[['Los Angeles Clippers', 0.388, 12.0, 18.0, 0.828], ['Oklahoma City Thunder', 0.481, 12.0, 12.0, 0.714], 1]
[['Toronto Raptors', 0.449, 15.0, 12.0, 0.852], ['Phoenix Suns', 0.455, 11.0, 11.0, 0.786], 0]
[['Houston Rockets', 0.381, 13.0, 6.0, 0.741], ['Los Angeles Lakers', 0.418, 19.0, 13.0, 0.842], 1]
[['Portland Trail Blazers', 0.429, 14.0, 15.0, 0.8], ['Atlanta Hawks', 0.463, 17.0, 8.0, 0.824], 0]
[['Charlotte Bobcats', 0.429, 13.0, 13.0, 0.645], ['Orlando Magic', 0.507, 16.0, 4.0, 0.577], 0]
[['Dallas Mavericks', 0.444, 10.0, 14.0, 0.647], ['Milwaukee Bucks', 0.512, 15.0, 9.0, 0.773], 1]
[['Golden State Warriors', 0.466, 14.0, 12.0, 0.773], ['Cleveland Cavaliers', 0.582, 16.0, 6.0, 0.765], 0]
[['Oklahoma City Thunder', 0.431, 15.0, 9.0, 0.667], ['Miami Heat', 0.481, 11.0, 9.0, 0.955], 1]
[['Indiana Pacers', 0.363, 18.0, 13.0, 0.889], ['New Jersey Nets', 0.392, 13.0, 9.0, 0.806], 1]
[['Los Angeles Clippers', 0.457, 16.0, 19.0, 0.848], ['New Orleans Hornets', 0.476, 17.0, 11.0, 0.81], 0]
[['Phoenix Suns', 0.443, 7.0, 13.0, 0.769], ['Houston Rockets', 0.519, 12.0, 5.0, 0.719], 1]
[['Toronto Raptors', 0.462, 14.0, 19.0, 0.75], ['Denver Nuggets', 0.615, 12.0, 3.0, 0.771], 0]
[['Chicago Bulls', 0.432, 21.0, 13.0, 0.722], ['Sacramento Kings', 0.47, 15.0, 12.0, 0.762], 1]
[['Detroit Pistons', 0.472, 12.0, 14.0, 0.818], ['Los Angeles Lakers', 0.472, 15.0, 7.0, 0.815], 0]
[['Miami Heat', 0.427, 8.0, 15.0, 0.75], ['Atlanta Hawks', 0.443, 14.0, 9.0, 0.688], 0]
[['New York Knicks', 0.442, 20.0, 13.0, 0.692], ['Indiana Pacers', 0.479, 16.0, 7.0, 0.732], 1]
[['Oklahoma City Thunder', 0.41, 12.0, 5.0, 0.783], ['Orlando Magic', 0.481, 13.0, 9.0, 0.654], 0]
[['Charlotte Bobcats', 0.423, 16.0, 10.0, 0.708], ['Philadelphia 76ers', 0.43, 12.0, 11.0, 0.8], 0]
[['Cleveland Cavaliers', 0.429, 12.0, 16.0, 0.886], ['Washington Wizards', 0.449, 15.0, 6.0, 0.933], 0]
[['Golden State Warriors', 0.463, 21.0, 8.0, 0.789], ['Boston Celtics', 0.525, 18.0, 10.0, 0.63], 0]
