[['Chicago Bulls', 0.4, 14.0, 16.0, 0.579], ['Houston Rockets', 0.432, 23.0, 10.0, 0.71], 0]
[['Denver Nuggets', 0.382, 15.0, 17.0, 0.64], ['Minnesota Timberwolves', 0.443, 20.0, 14.0, 0.846], 1]
[['New York Knicks', 0.494, 13.0, 11.0, 0.81], ['Dallas Mavericks', 0.506, 14.0, 5.0, 0.818], 0]
[['Portland Trail Blazers', 0.403, 20.0, 13.0, 0.769], ['Phoenix Suns', 0.597, 13.0, 7.0, 0.833], 0]
[['Los Angeles Lakers', 0.446, 20.0, 6.0, 0.692], ['Sacramento Kings', 0.543, 16.0, 9.0, 0.818], 0]
[['Brooklyn Nets', 0.458, 8.0, 14.0, 0.733], ['Golden State Warriors', 0.533, 15.0, 12.0, 0.789], 0]
[['Atlanta Hawks', 0.373, 13.0, 7.0, 0.808], ['Charlotte Bobcats', 0.538, 21.0, 7.0, 0.429], 1]
[['Cleveland Cavaliers', 0.425, 13.0, 17.0, 0.733], ['Orlando Magic', 0.5, 18.0, 12.0, 0.85], 0]
[['Oklahoma City Thunder', 0.468, 16.0, 8.0, 0.833], ['Boston Celtics', 0.488, 15.0, 8.0, 0.875], 0]
[['Los Angeles Clippers', 0.403, 18.0, 17.0, 0.636], ['Brooklyn Nets', 0.466, 15.0, 11.0, 0.684], 0]
[['Toronto Raptors', 0.41, 11.0, 9.0, 0.8], ['Detroit Pistons', 0.462, 14.0, 15.0, 0.577], 0]
[['New York Knicks', 0.43, 15.0, 6.0, 0.857], ['Houston Rockets', 0.517, 14.0, 11.0, 0.893], 0]
[['San Antonio Spurs', 0.413, 13.0, 19.0, 0.667], ['Indiana Pacers', 0.494, 10.0, 6.0, 0.909], 1]
[['Los Angeles Lakers', 0.446, 18.0, 11.0, 0.833], ['Memphis Grizzlies', 0.507, 15.0, 13.0, 0.8], 0]
[['Golden State Warriors', 0.438, 14.0, 8.0, 0.778], ['Denver Nuggets', 0.476, 11.0, 11.0, 0.567], 0]
[['New Orleans Hornets', 0.489, 10.0, 10.0, 0.632], ['Phoenix Suns', 0.513, 18.0, 6.0, 0.833], 0]
[['Sacramento Kings', 0.434, 11.0, 17.0, 0.879], ['Utah Jazz', 0.5, 13.0, 6.0, 0.75], 0]
[['Minnesota Timberwolves', 0.41, 14.0, 17.0, 0.757], ['Portland Trail Blazers', 0.538, 12.0, 6.0, 0.444], 0]
[['Los Angeles Clippers', 0.427, 14.0, 7.0, 0.84], ['Atlanta Hawks', 0.507, 18.0, 8.0, 0.808], 0]
[['Oklahoma City Thunder', 0.443, 12.0, 18.0, 0.865], ['Philadelphia 76ers', 0.495, 15.0, 12.0, 0.706], 1]
[['Charlotte Bobcats', 0.366, 19.0, 18.0, 0.821], ['Washington Wizards', 0.41, 17.0, 5.0, 0.778], 1]
[['Cleveland Cavaliers', 0.443, 10.0, 10.0, 0.727], ['Miami Heat', 0.522, 18.0, 9.0, 0.784], 0]
[['Los Angeles Lakers', 0.37, 15.0, 9.0, 0.55], ['Dallas Mavericks', 0.488, 19.0, 11.0, 0.676], 1]
[['Chicago Bulls', 0.39, 16.0, 20.0, 0.962], ['Milwaukee Bucks', 0.432, 9.0, 10.0, 0.7], 1]
[['Utah Jazz', 0.405, 17.0, 17.0, 0.733], ['Sacramento Kings', 0.541, 14.0, 14.0, 0.688], 0]
[['Minnesota Timberwolves', 0.384, 10.0, 11.0, 0.737], ['Golden State Warriors', 0.423, 13.0, 13.0, 0.828], 0]
[['Detroit Pistons', 0.474, 19.0, 10.0, 0.773], ['New York Knicks', 0.481, 11.0, 10.0, 0.903], 0]
[['San Antonio Spurs', 0.364, 12.0, 17.0, 0.833], ['Toronto Raptors', 0.427, 11.0, 7.0, 0.789], 1]
[['Portland Trail Blazers', 0.424, 12.0, 17.0, 0.714], ['Brooklyn Nets', 0.436, 16.0, 9.0, 0.769], 0]
[['Boston Celtics', 0.448, 15.0, 17.0, 0.789], ['Orlando Magic', 0.456, 18.0, 10.0, 0.895], 1]
[['Phoenix Suns', 0.47, 12.0, 9.0, 0.95], ['Philadelphia 76ers', 0.481, 8.0, 6.0, 0.739], 0]
[['New Orleans Hornets', 0.388, 14.0, 15.0, 0.6], ['Denver Nuggets', 0.533, 14.0, 9.0, 0.81], 0]
